Hour,AL,AT,BA,BG,CH,CZ,DE,ES,FI,FR,GR,HR,IT,ME,MK,NO,PL,PT,RO,RS,SE,SI,SK
1,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
2,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
3,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
4,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
5,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
6,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
7,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
8,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
9,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
10,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
11,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
12,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
13,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
14,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
15,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
16,1619.6337915725603,89.32558272767768,359.44710544820583,243.64393834622769,1018.8664098763142,62.14440765306125,105.36773251372321,1621.9122107625244,938.1970553332934,2649.6051058683347,511.5429736905244,717.7087827531886,1650.6697837382533,337.5838983050848,324.8445539803371,3660.9231804724986,31.353762241566923,1692.9999999999989,435.8428102599049,143.87000859949558,2385.871536011473,0.0,4.669613878754347
